Date,Open,High,Low,Close,Volume,Name,Dividends,Stock Splits,Capital Gains
2023-04-18 00:00:00+05:30,57.4,58.9,56.9,58.2,9126466,IBREALEST,,,
2023-04-19 00:00:00+05:30,58.2,58.45,57.25,57.7,4957176,IBREALEST,,,
2023-04-20 00:00:00+05:30,57.6,60.6,57.5,59.45,13031693,IBREALEST,,,
2023-04-21 00:00:00+05:30,59.35,59.35,56.3,56.95,7132196,IBREALEST,,,
2023-04-24 00:00:00+05:30,57.5,65.0,56.9,63.5,54103208,IBREALEST,,,
2023-04-25 00:00:00+05:30,64.0,68.3,63.8,67.8,36817670,IBREALEST,,,
2023-04-26 00:00:00+05:30,67.0,71.45,66.5,70.75,24497880,IBREALEST,,,
2023-04-27 00:00:00+05:30,70.6,72.75,70.0,71.5,16150884,IBREALEST,,,
2023-04-28 00:00:00+05:30,71.5,73.6,71.25,72.8,8134188,IBREALEST,,,
2023-05-02 00:00:00+05:30,73.2,75.8,72.8,73.25,8187870,IBREALEST,,,
2023-05-03 00:00:00+05:30,73.25,73.55,71.1,71.9,4443316,IBREALEST,,,
2023-05-04 00:00:00+05:30,71.6,72.8,71.25,71.75,3029053,IBREALEST,,,
2023-05-05 00:00:00+05:30,71.5,71.85,68.0,68.3,4723708,IBREALEST,,,
2023-05-08 00:00:00+05:30,68.65,70.4,68.45,69.25,2888610,IBREALEST,,,
2023-05-09 00:00:00+05:30,68.95,68.95,55.4,55.4,39339411,IBREALEST,,,
2023-05-10 00:00:00+05:30,52.6,58.7,52.6,55.5,27915442,IBREALEST,,,
2023-05-11 00:00:00+05:30,56.2,58.3,55.6,57.75,10603062,IBREALEST,,,
2023-05-12 00:00:00+05:30,58.0,58.5,56.35,56.55,4078899,IBREALEST,,,
2023-05-15 00:00:00+05:30,56.95,57.95,55.0,56.3,6130752,IBREALEST,,,
2023-05-16 00:00:00+05:30,56.5,57.75,56.5,56.9,3542440,IBREALEST,,,
2023-05-17 00:00:00+05:30,56.9,57.8,55.45,55.85,3695072,IBREALEST,,,
2023-05-18 00:00:00+05:30,56.2,56.6,53.65,54.65,4163504,IBREALEST,,,
2023-05-19 00:00:00+05:30,55.3,55.45,54.0,54.9,2480273,IBREALEST,,,
2023-05-22 00:00:00+05:30,54.75,58.35,54.55,57.05,6854161,IBREALEST,,,
2023-05-23 00:00:00+05:30,57.05,59.15,56.95,57.85,7621960,IBREALEST,,,
2023-05-24 00:00:00+05:30,57.55,65.4,57.3,62.85,27222977,IBREALEST,,,
2023-05-25 00:00:00+05:30,63.0,65.5,62.2,64.85,14490898,IBREALEST,,,
2023-05-26 00:00:00+05:30,64.95,68.2,64.8,67.55,16457741,IBREALEST,,,
2023-05-29 00:00:00+05:30,68.15,68.8,66.05,66.95,8325261,IBREALEST,,,
2023-05-30 00:00:00+05:30,66.9,68.35,65.8,66.45,6139901,IBREALEST,,,
2023-05-31 00:00:00+05:30,62.5,67.95,62.5,67.25,14552497,IBREALEST,,,
2023-06-01 00:00:00+05:30,66.8,69.2,66.1,67.15,8487100,IBREALEST,,,
2023-06-02 00:00:00+05:30,67.6,70.9,67.1,70.5,14344388,IBREALEST,,,
2023-06-05 00:00:00+05:30,70.95,71.3,69.4,69.65,7656625,IBREALEST,,,
2023-06-06 00:00:00+05:30,69.7,70.1,66.6,67.0,6201693,IBREALEST,,,
2023-06-07 00:00:00+05:30,67.4,67.85,66.55,67.1,4786056,IBREALEST,,,
2023-06-08 00:00:00+05:30,67.3,69.0,65.85,66.1,5042944,IBREALEST,,,
2023-06-09 00:00:00+05:30,66.4,66.9,65.1,65.4,3692656,IBREALEST,,,
2023-06-12 00:00:00+05:30,65.75,66.45,63.95,64.4,3610774,IBREALEST,,,
2023-06-13 00:00:00+05:30,64.75,67.7,64.4,64.85,13446192,IBREALEST,,,
